global_case_id,density_group_id,local_case_id,cluster_id
1,1,1,1
2,1,2,1
3,1,3,1
4,1,4,1
5,1,5,1
6,1,6,1
7,1,7,0
8,1,8,0
9,1,9,0
10,1,10,0
11,1,11,0
12,1,12,0
13,1,13,0
14,1,14,0
15,1,15,0
16,1,16,0
17,1,17,0
18,1,18,0
19,1,19,0
20,1,20,0
21,1,21,0
22,1,22,0
23,1,23,0
24,1,24,0
25,1,25,0
26,1,26,0
27,1,27,0
28,1,28,0
29,1,29,0
30,2,1,1
31,2,2,1
32,2,3,1
33,2,4,1
34,2,5,1
35,2,6,1
36,2,7,0
37,2,8,0
38,2,9,0
39,2,10,0
40,2,11,0
41,2,12,0
42,2,13,0
43,2,14,0
44,2,15,0
45,2,16,0
46,2,17,0
47,2,18,0
48,2,19,0
49,2,20,0
50,2,21,0
51,2,22,0
52,2,23,0
53,2,24,0
54,2,25,0
55,2,26,0
56,2,27,0
57,2,28,0
58,2,29,0
59,3,1,1
60,3,2,1
61,3,3,1
62,3,4,1
63,3,5,1
64,3,6,1
65,3,7,0
66,3,8,0
67,3,9,0
68,3,10,0
69,3,11,0
70,3,12,0
71,3,13,0
72,3,14,0
73,3,15,0
74,3,16,0
75,3,17,0
76,3,18,0
77,3,19,0
78,3,20,0
79,3,21,0
80,3,22,0
81,3,23,0
82,3,24,0
83,3,25,0
84,3,26,0
85,3,27,0
86,3,28,0
87,3,29,0
88,4,1,1
89,4,2,1
90,4,3,1
91,4,4,1
92,4,5,1
93,4,6,1
94,4,7,0
95,4,8,0
96,4,9,0
97,4,10,0
98,4,11,0
99,4,12,0
100,4,13,0
101,4,14,0
102,4,15,0
103,4,16,0
104,4,17,0
105,4,18,0
106,4,19,0
107,4,20,0
108,4,21,0
109,4,22,0
110,4,23,0
111,4,24,0
112,4,25,0
113,4,26,0
114,4,27,0
115,4,28,0
116,4,29,0
117,5,1,1
118,5,2,1
119,5,3,1
120,5,4,1
121,5,5,1
122,5,6,1
123,5,7,0
124,5,8,0
125,5,9,0
126,5,10,0
127,5,11,0
128,5,12,0
129,5,13,0
130,5,14,0
131,5,15,0
132,5,16,0
133,5,17,0
134,5,18,0
135,5,19,0
136,5,20,0
137,5,21,0
138,5,22,0
139,5,23,0
